card,meaning,type
Justice,Libra,Zodiac
The Hermit,Virgo,Zodiac
Wheel of Fortune,Jupiter,Planet
Justice,Libra,Zodiac
The Hanged Man,Neptune,Planet
Death,Scorpio,Zodiac
Temperance,Sagittarius,Zodiac
The Devil,Saturn,Planet
The Devil,Capricorn,Zodiac
The Tower,Mars,Planet
The Star,Aquarius,Zodiac
The Moon,Pisces,Zodiac
The Sun,Leo,Zodiac
Judgment,Pluto,Planet
The World,Saturn,Planet
Ace of Swords,Truth,Trait
Ace of Swords,Clarity,Trait
Ace of Swords,Breakthrough,Trait
Two of Swords,Indecision,Trait
Two of Swords,Stalemate,Trait
Two of Swords,Avoidance,Trait
Three of Swords,Heartbreak,Trait
Three of Swords,Pain,Trait
Three of Swords,Sorrow,Trait
Four of Swords,Rest,Trait
Four of Swords,Recovery,Trait
Four of Swords,Contemplation,Trait
Five of Swords,Conflict,Trait
Five of Swords,Defeat,Trait
Five of Swords,Betrayal,Trait
Six of Swords,Transition,Trait
Six of Swords,Moving on,Trait
Six of Swords,Acceptance,Trait
Seven of Swords,Deception,Trait
Seven of Swords,Trickery,Trait
Seven of Swords,Stealth,Trait
Eight of Swords,Restriction,Trait
Eight of Swords,Helplessness,Trait
Eight of Swords,Victimization,Trait
Nine of Swords,Anxiety,Trait
Nine of Swords,Worry,Trait
Nine of Swords,Fear,Trait
Ten of Swords,Endings,Trait
Ten of Swords,Defeat,Trait
Ten of Swords,Rock bottom,Trait
Page of Swords,Mental curiosity,Trait
Page of Swords,Information gathering,Trait
Page of Swords,Vigilance,Trait
Knight of Swords,Driven action,Trait
Knight of Swords,Assertiveness,Trait
Knight of Swords,Impulsiveness,Trait
Queen of Swords,Intellectual prowess,Trait
Queen of Swords,Clarity,Trait
Queen of Swords,Independence,Trait
King of Swords,Mental mastery,Trait
King of Swords,Authority,Trait
King of Swords,Logic,Trait
Ace of Pentacles,Prosperity,Trait
Ace of Pentacles,New beginnings,Trait
Ace of Pentacles,Material gain,Trait
Two of Pentacles,Balance,Trait
Two of Pentacles,Adaptability,Trait
Two of Pentacles,Juggling,Trait
Three of Pentacles,Collaboration,Trait
Three of Pentacles,Skill,Trait
Three of Pentacles,Teamwork,Trait
Four of Pentacles,Stability,Trait
Four of Pentacles,Security,Trait
Four of Pentacles,Possessiveness,Trait
Five of Pentacles,Hardship,Trait
Five of Pentacles,Poverty,Trait
Five of Pentacles,Isolation,Trait
Six of Pentacles,Generosity,Trait
Six of Pentacles,Charity,Trait
Six of Pentacles,Sharing,Trait
Seven of Pentacles,Patience,Trait
Seven of Pentacles,Investment,Trait
Seven of Pentacles,Long-term goals,Trait
Eight of Pentacles,Dedication,Trait
Eight of Pentacles,Craftsmanship,Trait
Eight of Pentacles,Apprenticeship,Trait
Nine of Pentacles,Independence,Trait
Nine of Pentacles,Luxury,Trait
Nine of Pentacles,Self-sufficiency,Trait
Ten of Pentacles,Legacy,Trait
Ten of Pentacles,Wealth,Trait
Ten of Pentacles,Family inheritance,Trait
Page of Pentacles,Manifestation,Trait
Page of Pentacles,Learning,Trait
Page of Pentacles,Practicality,Trait
Knight of Pentacles,Persistence,Trait
Knight of Pentacles,Reliability,Trait
Knight of Pentacles,Routine,Trait
Queen of Pentacles,Nurturing,Trait
Queen of Pentacles,Abundance,Trait
Queen of Pentacles,Practicality,Trait
King of Pentacles,Material abundance,Trait
King of Pentacles,Security,Trait
King of Pentacles,Business acumen,Trait
Page of Wands,Aries,Zodiac
Knight of Wands,Leo,Zodiac
Queen of Wands,Sagittarius,Zodiac
King of Wands,Aries,Zodiac
Page of Cups,Cancer,Zodiac
Knight of Cups,Scorpio,Zodiac
Queen of Cups,Pisces,Zodiac
King of Cups,Cancer,Zodiac
Page of Swords,Libra,Zodiac
Knight of Swords,Aquarius,Zodiac
Queen of Swords,Gemini,Zodiac
King of Swords,Libra,Zodiac
Page of Pentacles,Virgo,Zodiac
Knight of Pentacles,Taurus,Zodiac
Queen of Pentacles,Capricorn,Zodiac
King of Pentacles,Taurus,Zodiac
